Code,City,County,State
11580061,HARTFORD,GENEVA,ALABAMA
11590103,HARTSELLE,MORGAN,ALABAMA
11593089,HARVEST,MADISON,ALABAMA
11595113,HATCHECHUBBEE,RUSSELL,ALABAMA
11600009,HAYDEN,BLOUNT,ALABAMA
11605085,HAYNEVILLE,LOWNDES,ALABAMA
11607089,HAZEL GREEN,MADISON,ALABAMA
11610067,HEADLAND,HENRY,ALABAMA
11615039,HEATH,COVINGTON,ALABAMA
11620029,HEFLIN,CLEBURNE,ALABAMA
11630117,HELENA,SHELBY,ALABAMA
11632049,HENAGAR,DE KALB,ALABAMA
11633071,HIGDON,JACKSON,ALABAMA
11634041,HIGHLAND HOME,CRENSHAW,ALABAMA
11639127,HILLIARD,WALKER,ALABAMA
11640079,HILLSBORO,LAWRENCE,ALABAMA
11644037,HISSOP,COOSA,ALABAMA
11650015,HOBSON CITY,CALHOUN,ALABAMA
11660059,HODGES,FRANKLIN,ALABAMA
11670055,HOKES BLUFF,ETOWAH,ALABAMA
11675027,HOLLINS,CLAY,ALABAMA
11680043,HOLLY POND,CULLMAN,ALABAMA
11685071,HOLLYTREE,JACKSON,ALABAMA
11690071,HOLLYWOOD,JACKSON,ALABAMA
11700125,HOLT,TUSCALOOSA,ALABAMA
11701113,HOLY TRINITY,RUSSELL,ALABAMA
11710073,HOMEWOOD,JEFFERSON,ALABAMA
11711041,HONORAVILLE,CRENSHAW,ALABAMA
11712101,HOPE HULL,MONTGOMERY,ALABAMA
11713095,HORTON,MARSHALL,ALABAMA
11714039,HORN HILL,COVINGTON,ALABAMA
11715133,HOUSTON,WINSTON,ALABAMA
11716073,HOOVER,JEFFERSON,ALABAMA
11716117,HOOVER,SHELBY,ALABAMA
11717073,HUEYTOWN,JEFFERSON,ALABAMA
11730089,HUNTSVILLE,MADISON,ALABAMA
11740113,HURTSBORO,RUSSELL,ALABAMA
11742053,HUXFORD,ESCAMBIA,ALABAMA
11745049,IDER,DE KALB,ALABAMA
11750073,IRONDALE,JEFFERSON,ALABAMA
11754097,IRVINGTON,MOBILE,ALABAMA
11755023,JACHIN,CHOCTAW,ALABAMA
11756031,JACK,COFFEE,ALABAMA
11760025,JACKSON,CLARKE,ALABAMA
11762123,JACKSONS GAP,TALLAPOOSA,ALABAMA
11770015,JACKSONVILLE,CALHOUN,ALABAMA
11773019,JAMESTOWN,CHEROKEE,ALABAMA
11780127,JASPER,WALKER,ALABAMA
11785091,JEFFERSON,MARENGO,ALABAMA
11790021,JEMISON,CHILTON,ALABAMA
11793073,JOHNS,JEFFERSON,ALABAMA
